Game,Winner,Moves,Agent1_Avg_Time,Agent2_Avg_Time
1,draw,83,0.0042,3.485
2,draw,12,3.6388,0.0038
3,draw,83,0.0046,3.5372
4,draw,12,3.5953,0.0041
5,draw,83,0.0044,3.4508
6,draw,12,3.5934,0.0038
7,draw,83,0.0049,3.5414
8,draw,12,3.5971,0.0044
9,draw,99,0.0043,3.4301
10,draw,12,3.687,0.0041
11,draw,83,0.0042,3.5027
12,draw,12,3.8246,0.0045
13,draw,83,0.0043,3.5235
14,draw,12,3.7832,0.0045
15,draw,83,0.005,3.4999
16,draw,12,3.7069,0.0044
17,draw,83,0.0046,3.5253
18,draw,12,3.5847,0.0042
19,draw,99,0.0042,3.4318
20,draw,12,3.7711,0.0042
21,draw,83,0.0051,3.5021
22,draw,12,3.5942,0.0044
23,draw,60,0.004,3.4383
24,draw,42,3.7033,0.0053
25,draw,83,0.0042,3.4951
26,draw,12,3.6613,0.0044
27,draw,83,0.0042,3.484
28,draw,12,3.6985,0.0072
29,draw,83,0.0049,3.4853
30,draw,12,3.7171,0.0037
31,draw,38,0.0044,3.5801
32,draw,12,3.6339,0.0043
33,draw,83,0.0044,3.5585
34,draw,12,3.7563,0.0043
35,draw,83,0.0042,3.5993
36,draw,12,3.6742,0.0048
37,draw,83,0.0043,3.5012
38,draw,12,3.6042,0.0041
39,draw,61,0.0042,3.5105
40,draw,12,3.7914,0.0161
41,draw,83,0.0043,3.4943
42,draw,12,3.8599,0.0038
43,draw,83,0.0047,3.5107
44,draw,12,3.6751,0.0046
45,draw,83,0.0042,3.5267
46,draw,12,3.6658,0.0037
47,draw,103,0.0041,3.3854
48,draw,12,3.5476,0.0046
49,draw,83,0.0046,3.5123
50,draw,12,3.6525,0.0038
51,draw,96,0.0046,3.5437
52,draw,12,3.7125,0.0041
53,draw,31,0.0048,3.5788
54,draw,12,3.9068,0.0042
55,draw,68,0.0044,3.4694
56,draw,12,3.5822,0.0045
57,draw,83,0.0043,3.3887
58,draw,12,3.6377,0.0043
59,draw,74,0.0042,3.4342
60,draw,12,3.6757,0.0042
61,draw,84,0.0044,3.4526
62,draw,12,3.6358,0.0043
63,draw,83,0.0043,3.4675
64,draw,12,3.7117,0.004
65,draw,83,0.0044,3.5185
66,draw,12,3.7881,0.0043
67,draw,36,0.0038,3.7733
68,draw,12,3.7042,0.0043
69,draw,83,0.0046,3.7771
70,draw,12,4.086,0.0049
71,draw,83,0.0049,3.8288
72,draw,12,4.0419,0.0049
73,draw,44,0.0047,3.8934
74,draw,12,4.1019,0.0047
75,draw,83,0.005,3.9108
76,draw,12,4.1838,0.0045
77,draw,83,0.0095,3.9205
78,draw,12,4.0676,0.0047
79,draw,28,0.0049,4.0611
80,draw,53,4.3832,0.0045
81,draw,23,0.0046,3.8842
82,draw,12,4.0441,0.0043
83,draw,83,0.0047,3.8399
84,draw,12,4.2148,0.0041
85,draw,38,0.0054,3.9233
86,draw,12,4.052,0.0043
87,mcts,52,0.0058,3.9276
88,draw,12,4.204,0.0052
89,draw,59,0.0047,4.2185
90,draw,12,3.9986,0.0047
91,mcts,49,0.0041,3.9941
92,draw,12,4.3931,0.0053
93,draw,78,0.0044,3.8825
94,draw,12,4.1072,0.0059
95,draw,26,0.0045,3.9154
96,draw,47,4.1643,0.0046
97,draw,110,0.0047,3.8522
98,draw,30,4.408,0.0058
99,draw,75,0.0054,3.931
100,draw,12,4.1642,0.0047
