Game,Winner,Moves,Agent1_Avg_Time,Agent2_Avg_Time
1,draw,15,0.063,0.0924
2,draw,88,0.1118,0.0195
3,draw,15,0.0098,0.0803
4,draw,88,0.1284,0.0188
5,draw,15,0.0103,0.0427
6,draw,88,0.1988,0.0114
7,draw,15,0.0096,0.0352
8,draw,88,0.154,0.0147
9,draw,15,0.0148,0.039
10,draw,88,0.1517,0.0224
11,draw,15,0.0109,0.0819
12,draw,88,0.1541,0.0205
13,draw,15,0.0087,0.0317
14,draw,88,0.1458,0.015
15,draw,15,0.0152,0.0436
16,draw,88,0.1632,0.0185
17,draw,15,0.0124,0.0572
18,draw,28,0.1949,0.0236
19,draw,15,0.0108,0.0469
20,draw,88,0.1015,0.0102
21,draw,15,0.0099,0.0472
22,draw,66,0.1225,0.0103
23,draw,21,0.014,0.0956
24,draw,88,0.1559,0.0138
25,draw,15,0.0144,0.0403
26,draw,88,0.1819,0.0304
27,draw,15,0.0091,0.0953
28,draw,88,0.1529,0.0249
29,draw,15,0.0091,0.0377
30,draw,27,0.2283,0.0373
31,draw,15,0.0101,0.0461
32,draw,89,0.1421,0.0156
33,draw,15,0.0177,0.0442
34,draw,88,0.1605,0.017
35,draw,15,0.0106,0.0527
36,draw,88,0.0887,0.0126
37,draw,15,0.0099,0.0383
38,draw,88,0.133,0.0181
39,draw,15,0.0152,0.1688
40,draw,48,0.1264,0.0196
41,draw,15,0.0099,0.0474
42,draw,34,0.1026,0.023
43,draw,38,0.0209,0.136
44,draw,88,0.1546,0.0194
45,draw,15,0.0101,0.039
46,draw,88,0.125,0.0124
47,draw,15,0.0174,0.0525
48,draw,69,0.1339,0.0327
49,draw,15,0.0093,0.0481
50,draw,28,0.078,0.0092
51,draw,15,0.0116,0.0439
52,draw,34,0.0662,0.0192
53,draw,15,0.01,0.0391
54,draw,88,0.1258,0.0153
55,draw,15,0.0216,0.0557
56,draw,88,0.1311,0.016
57,draw,15,0.0113,0.0744
58,draw,40,0.1042,0.0195
59,draw,15,0.0096,0.0532
60,draw,22,0.0412,0.0105
61,draw,15,0.0086,0.0304
62,draw,88,0.1762,0.0235
63,draw,15,0.0097,0.0562
64,draw,86,0.0824,0.02
65,draw,15,0.0308,0.0983
66,draw,88,0.1429,0.0164
67,draw,15,0.0128,0.0926
68,draw,31,0.0751,0.0169
69,draw,22,0.0108,0.0422
70,draw,88,0.1492,0.0135
71,draw,15,0.009,0.0443
72,draw,32,0.0801,0.0156
73,draw,15,0.0266,0.0538
74,draw,88,0.1242,0.0148
75,draw,15,0.0127,0.0395
76,draw,33,0.1785,0.0109
77,draw,15,0.0117,0.0458
78,draw,63,0.0837,0.012
79,draw,15,0.0364,0.171
80,draw,83,0.1852,0.0241
81,draw,15,0.0087,0.0308
82,draw,26,0.1307,0.0469
83,draw,15,0.0484,0.0859
84,draw,88,0.1278,0.0267
85,draw,15,0.026,0.0792
86,draw,27,0.1002,0.0125
87,draw,15,0.0461,0.139
88,draw,84,0.121,0.0212
89,draw,15,0.0576,0.184
90,draw,78,0.1372,0.0115
91,draw,15,0.013,0.0488
92,draw,40,0.0571,0.0099
93,draw,15,0.0093,0.042
94,draw,150,0.133,0.0131
95,draw,15,0.0108,0.0418
96,draw,88,0.1227,0.0156
97,draw,15,0.024,0.0533
98,draw,88,0.0963,0.0128
99,draw,15,0.0099,0.0421
100,draw,102,0.0894,0.016
