Game,Winner,Moves,Agent1_Avg_Time,Agent2_Avg_Time
1,draw,49,0.0087,0.0267
2,draw,31,0.0403,0.0085
3,draw,24,0.0087,0.036
4,draw,43,0.0238,0.0082
5,draw,47,0.0085,0.0391
6,draw,19,0.0329,0.0082
7,draw,14,0.0085,0.0217
8,minimax,8,0.0505,0.0088
9,draw,35,0.0082,0.0393
10,draw,28,0.0221,0.0083
11,draw,52,0.0082,0.0286
12,draw,24,0.0372,0.0085
13,draw,74,0.0082,0.0273
14,draw,21,0.0284,0.0087
15,draw,41,0.0085,0.0266
16,draw,22,0.0248,0.008
17,draw,24,0.0084,0.0317
18,draw,36,0.0335,0.008
19,draw,22,0.0076,0.0319
20,draw,42,0.0175,0.0084
21,draw,29,0.0075,0.027
22,draw,24,0.0204,0.0081
23,draw,19,0.0083,0.0427
24,draw,23,0.0302,0.0084
25,draw,34,0.0085,0.042
26,draw,38,0.0247,0.0083
27,draw,28,0.0084,0.0253
28,draw,30,0.033,0.0087
29,draw,18,0.0084,0.0307
30,minimax,23,0.0356,0.0079
31,draw,27,0.008,0.0391
32,draw,28,0.0332,0.0084
33,draw,19,0.0087,0.0381
34,draw,32,0.0258,0.0083
35,draw,23,0.0084,0.0342
36,draw,52,0.033,0.0081
37,draw,41,0.0082,0.0287
38,draw,17,0.0415,0.0084
39,draw,17,0.0076,0.0248
40,draw,35,0.0335,0.0083
41,draw,51,0.0083,0.0285
42,draw,24,0.0385,0.0083
43,draw,31,0.0082,0.0223
44,draw,33,0.0289,0.0086
45,draw,33,0.0084,0.0285
46,draw,35,0.0352,0.0084
47,draw,17,0.0085,0.0254
48,draw,24,0.0415,0.0086
49,draw,21,0.0083,0.0434
50,draw,18,0.0259,0.0081
51,draw,20,0.0084,0.0223
52,draw,28,0.0317,0.0081
53,draw,54,0.0085,0.0329
54,draw,25,0.0401,0.0087
55,draw,40,0.0084,0.0258
56,draw,31,0.0313,0.0083
57,draw,36,0.0081,0.0402
58,minimax,13,0.0265,0.0084
59,draw,22,0.0084,0.0253
60,draw,25,0.0303,0.0081
61,draw,21,0.0084,0.0381
62,draw,27,0.0258,0.0081
63,draw,39,0.0075,0.0279
64,draw,30,0.0294,0.0083
65,draw,34,0.0084,0.0309
66,draw,32,0.0378,0.0082
67,draw,19,0.0079,0.0239
68,draw,29,0.0342,0.0084
69,draw,25,0.0084,0.0251
70,draw,27,0.0369,0.0087
71,draw,18,0.0085,0.0373
72,draw,32,0.0211,0.0078
73,draw,15,0.0084,0.0296
74,draw,29,0.0264,0.0082
75,draw,29,0.0086,0.038
76,draw,22,0.0265,0.0085
77,draw,19,0.0083,0.0195
78,draw,36,0.0283,0.0081
79,draw,36,0.0085,0.0228
80,draw,30,0.0264,0.0082
81,draw,24,0.0085,0.0247
82,draw,30,0.0307,0.0086
83,draw,20,0.0085,0.0417
84,draw,44,0.0205,0.008
85,draw,33,0.0083,0.0309
86,draw,21,0.0408,0.0085
87,draw,34,0.0084,0.0212
88,draw,29,0.039,0.0085
89,draw,36,0.008,0.0308
90,draw,22,0.0355,0.0082
91,draw,30,0.0081,0.0308
92,draw,21,0.0286,0.0082
93,draw,34,0.0086,0.0476
94,draw,24,0.0274,0.0086
95,draw,30,0.0081,0.0167
96,draw,23,0.0408,0.0084
97,draw,36,0.0077,0.0351
98,draw,22,0.0338,0.0085
99,draw,20,0.0081,0.0252
100,draw,15,0.0398,0.0086
