Game,Winner,Moves,Agent1_Avg_Time,Agent2_Avg_Time
1,draw,22,4.1231,0.0324
2,draw,42,0.022,3.7644
3,draw,22,4.038,0.0311
4,draw,42,0.0237,3.77
5,draw,22,4.2552,0.0334
6,draw,42,0.0247,3.8896
7,draw,22,4.3078,0.0305
8,draw,42,0.0346,3.7857
9,draw,22,4.0815,0.0291
10,draw,42,0.0243,3.7845
11,draw,22,4.0587,0.0317
12,draw,42,0.024,3.8213
13,draw,22,4.1298,0.0316
14,draw,42,0.0252,3.8382
15,draw,22,4.0878,0.0333
16,draw,42,0.0238,3.8035
17,draw,22,4.1564,0.032
18,draw,42,0.0237,3.7464
19,draw,22,4.0548,0.03
20,draw,42,0.024,3.9176
21,draw,22,4.237,0.0297
22,draw,42,0.0236,3.8291
23,draw,22,3.9702,0.0292
24,draw,42,0.0226,3.7391
25,draw,22,4.6007,0.0323
26,draw,42,0.0314,4.9541
27,draw,22,6.1182,0.0578
28,draw,42,0.0314,6.0219
29,draw,22,7.9581,0.0357
30,draw,42,0.0242,4.2329
31,draw,22,4.109,0.05
32,draw,42,0.027,3.6722
33,draw,22,3.5597,0.0281
34,draw,42,0.0205,3.2207
35,draw,22,3.4629,0.0272
36,draw,42,0.0208,3.2276
37,draw,22,3.5063,0.0272
38,draw,42,0.0215,3.2487
39,draw,22,3.5097,0.029
40,draw,42,0.0218,3.2654
41,draw,22,3.5339,0.0287
42,draw,42,0.0209,3.2987
43,draw,22,3.7807,0.0297
44,draw,42,0.0338,3.679
45,draw,22,4.0391,0.0396
46,draw,42,0.0256,3.6236
47,draw,22,3.5027,0.0276
48,draw,42,0.0201,3.0669
49,draw,22,3.2188,0.0259
50,draw,42,0.0194,3.0082
51,draw,22,3.2031,0.0255
52,draw,42,0.0196,2.98
53,draw,22,3.3863,0.0276
54,draw,42,0.0246,3.907
55,draw,22,4.9705,0.0374
56,draw,42,0.0287,4.5476
57,draw,22,4.6729,0.0384
58,draw,42,0.0359,4.9457
59,draw,22,13.6188,0.0722
60,draw,42,0.0303,4.8636
61,draw,22,4.8043,0.0381
62,draw,42,0.0288,4.5285
63,draw,22,4.8503,0.0483
64,draw,42,0.0312,4.5494
65,draw,22,11.7256,0.0559
66,draw,42,0.0389,9.32
67,draw,22,18.0579,0.0861
68,draw,42,0.0376,12.6634
69,draw,22,16.9961,0.0682
70,draw,42,0.1031,22.9231
71,draw,22,12.8838,0.1262
72,draw,42,0.0522,9.0203
73,draw,22,7.1378,0.0493
74,draw,42,0.0382,7.9386
75,draw,22,13.0534,0.0938
76,draw,42,0.0789,13.3561
77,draw,22,13.9017,0.0796
78,draw,42,0.1077,13.0262
79,draw,22,12.3489,0.0875
80,draw,42,0.0653,13.5897
81,draw,22,15.9818,0.1778
82,draw,42,0.0664,9.0865
83,draw,22,10.5671,0.0627
84,draw,42,0.0295,7.861
85,draw,22,8.1565,0.0416
86,draw,42,0.0715,14.884
87,draw,22,27.1866,0.1739
88,draw,42,0.0834,22.0881
89,draw,22,16.8073,0.0665
90,draw,42,0.0515,12.0751
91,draw,22,11.5418,0.0781
92,draw,42,0.095,13.8551
93,draw,22,22.0941,0.1928
94,draw,42,0.0846,16.1765
95,draw,22,11.9273,0.0935
96,draw,42,0.0803,10.4601
97,draw,22,11.4941,0.1035
98,draw,42,0.0906,10.543
99,draw,22,11.1291,0.0742
100,draw,42,0.0836,11.0648
