Game,Winner,Moves,Agent1_Avg_Time,Agent2_Avg_Time
1,draw,32,0.0098,2.6984
2,draw,49,2.6695,0.0039
3,draw,32,0.0046,3.504
4,draw,49,9.772,0.0126
5,draw,32,0.016,11.3942
6,draw,49,9.9093,0.0122
7,draw,23,0.0124,10.0307
8,draw,49,8.7212,0.0104
9,draw,32,0.0098,8.1387
10,draw,49,7.1067,0.0086
11,draw,32,0.0048,3.8197
12,draw,49,3.0351,0.004
13,draw,32,0.0036,2.9352
14,draw,49,3.3647,0.0042
15,draw,32,0.0053,3.9219
16,draw,49,3.7617,0.0048
17,draw,32,0.0048,3.9942
18,draw,49,3.1968,0.0044
19,draw,32,0.004,2.9538
20,draw,49,2.8884,0.004
21,draw,32,0.004,2.9805
22,draw,49,3.0951,0.0041
23,draw,32,0.004,3.4437
24,draw,49,2.9908,0.004
25,draw,31,0.0036,2.8144
26,draw,49,3.1957,0.004
27,draw,32,0.0104,6.2835
28,draw,74,8.4934,0.0114
29,draw,32,0.0072,7.1113
30,draw,49,12.9647,0.0187
31,draw,32,0.0134,8.3633
32,draw,49,8.4626,0.0107
33,draw,32,0.0107,8.9593
34,draw,47,9.3908,0.0113
35,draw,32,0.0119,9.8377
36,draw,49,8.476,0.0106
37,draw,32,0.0095,8.5506
38,draw,49,8.1205,0.0131
39,draw,32,0.0134,9.4433
40,draw,49,8.574,0.0109
41,draw,32,0.0093,8.3423
42,draw,40,7.317,0.0071
43,draw,34,0.0131,11.2348
44,draw,49,11.4078,0.0176
45,draw,32,0.0132,11.671
46,draw,49,11.4877,0.0138
47,draw,32,0.0144,11.6926
48,draw,49,9.9627,0.0137
49,draw,32,0.0041,3.3626
50,draw,63,3.1954,0.0039
51,draw,32,0.0039,3.2243
52,draw,46,3.1985,0.0037
53,draw,32,0.0038,3.1848
54,draw,49,3.1356,0.0041
55,draw,32,0.0037,3.1847
56,draw,49,3.1295,0.0041
57,draw,32,0.0046,3.5189
58,draw,56,3.3455,0.0042
59,draw,32,0.004,3.2514
60,draw,49,3.2046,0.0039
61,draw,32,0.0037,3.2611
62,draw,49,3.2076,0.0044
63,draw,43,0.0043,3.3369
64,draw,49,3.1906,0.0041
65,draw,32,0.004,3.2389
66,draw,49,3.2906,0.0044
67,draw,25,0.0038,3.2896
68,draw,54,3.316,0.0042
69,draw,32,0.0039,3.241
70,draw,28,3.5445,0.0046
71,draw,32,0.0046,3.3457
72,draw,49,3.2305,0.0044
73,draw,32,0.0038,3.2959
74,draw,58,3.3037,0.0043
75,draw,44,0.0041,3.3798
76,draw,49,3.2347,0.0039
77,draw,32,0.0047,3.4315
78,draw,32,3.2617,0.0041
79,draw,32,0.004,3.3103
80,draw,57,3.3099,0.0039
81,draw,32,0.0044,3.3143
82,draw,33,3.3448,0.0038
83,draw,51,0.0042,3.2692
84,draw,42,3.2769,0.0045
85,draw,32,0.0044,3.4006
86,draw,49,3.1352,0.004
87,draw,51,0.004,2.92
88,draw,39,2.7929,0.0033
89,draw,32,0.0041,2.8473
90,draw,40,2.9561,0.0037
91,draw,41,0.0038,2.847
92,draw,30,2.8449,0.0035
93,draw,32,0.0035,2.8024
94,draw,49,2.7689,0.0039
95,draw,32,0.0039,2.9777
96,draw,57,2.8444,0.0042
97,draw,32,0.0038,2.7314
98,draw,26,2.7968,0.0036
99,draw,40,0.0036,2.9295
100,draw,33,2.9339,0.0036
