Game,Winner,Moves,Agent1_Avg_Time,Agent2_Avg_Time
1,draw,90,0.0058,0.0258
2,minimax,7,0.0224,0.0037
3,draw,72,0.0042,0.0281
4,minimax,75,0.0247,0.0055
5,draw,208,0.0118,0.0435
6,minimax,60,0.0332,0.0131
7,draw,43,0.0128,0.0316
8,minimax,26,0.0254,0.0131
9,draw,171,0.0094,0.0224
10,minimax,140,0.0315,0.0126
11,draw,52,0.0121,0.0239
12,draw,122,0.0291,0.0128
13,draw,82,0.0128,0.0239
14,draw,63,0.0221,0.0125
15,draw,81,0.0123,0.0265
16,minimax,14,0.0364,0.0116
17,draw,79,0.0121,0.0239
18,minimax,129,0.03,0.0121
19,minimax,37,0.0126,0.0357
20,minimax,17,0.0307,0.0131
21,minimax,69,0.0128,0.0335
22,draw,170,0.0159,0.0088
23,draw,48,0.0112,0.0284
24,draw,102,0.0237,0.0119
25,draw,56,0.0117,0.0306
26,minimax,94,0.0314,0.0127
27,draw,73,0.0129,0.0294
28,draw,47,0.0322,0.0126
29,draw,27,0.0118,0.0267
30,draw,23,0.0227,0.013
31,draw,134,0.0071,0.0166
32,draw,90,0.0232,0.0116
33,draw,38,0.011,0.0224
34,draw,62,0.0233,0.0115
35,draw,204,0.0101,0.0229
36,draw,156,0.0302,0.012
37,draw,80,0.0131,0.0353
38,draw,55,0.0269,0.0125
39,minimax,122,0.0127,0.028
40,draw,70,0.0251,0.013
41,draw,91,0.0115,0.0229
42,draw,160,0.027,0.01
43,draw,104,0.0116,0.0216
44,minimax,99,0.0233,0.0117
45,draw,25,0.0105,0.0266
46,minimax,96,0.0303,0.0118
47,draw,75,0.0133,0.033
48,draw,41,0.0298,0.0124
49,minimax,57,0.0128,0.0316
50,minimax,83,0.0255,0.0124
51,draw,38,0.0126,0.0313
52,draw,70,0.0337,0.0121
53,draw,91,0.0123,0.0294
54,minimax,16,0.0292,0.0128
55,draw,28,0.0123,0.0295
56,draw,83,0.022,0.0125
57,minimax,27,0.0105,0.0318
58,draw,128,0.0192,0.0094
59,minimax,114,0.0112,0.0324
60,minimax,70,0.0302,0.0127
61,draw,47,0.0121,0.032
62,minimax,163,0.0207,0.0113
63,draw,102,0.0107,0.0294
64,draw,63,0.0348,0.0121
65,draw,46,0.0128,0.0201
66,minimax,79,0.0262,0.0124
67,draw,140,0.0122,0.0269
68,draw,57,0.0334,0.0125
69,draw,293,0.009,0.0184
70,minimax,28,0.0274,0.0053
71,draw,38,0.0078,0.0375
72,minimax,104,0.0305,0.0122
73,draw,56,0.0127,0.0295
74,minimax,73,0.0225,0.0117
75,minimax,111,0.0119,0.0324
76,draw,90,0.0201,0.0119
77,draw,37,0.012,0.0406
78,draw,99,0.0253,0.0123
79,draw,96,0.0123,0.0272
80,draw,49,0.0328,0.0131
81,draw,64,0.0123,0.0274
82,draw,33,0.0252,0.0117
83,minimax,65,0.0128,0.0329
84,draw,50,0.0325,0.0125
85,draw,30,0.0128,0.0324
86,draw,23,0.053,0.0128
87,minimax,110,0.0095,0.0188
88,draw,175,0.0252,0.0103
89,draw,149,0.0122,0.0267
90,draw,82,0.0202,0.0121
91,draw,61,0.0114,0.0276
92,minimax,50,0.0361,0.0126
93,draw,70,0.0126,0.0278
94,draw,117,0.0253,0.0119
95,draw,80,0.0128,0.031
96,draw,80,0.0223,0.0125
97,draw,42,0.0108,0.0394
98,draw,146,0.025,0.0122
99,draw,86,0.0121,0.0276
100,draw,69,0.0249,0.0122
