Game,Winner,Moves,Agent1_Avg_Time,Agent2_Avg_Time
1,draw,72,0.0062,0.0266
2,minimax,103,0.0211,0.0038
3,draw,47,0.004,0.0251
4,draw,168,0.0176,0.0057
5,draw,76,0.0084,0.0278
6,minimax,111,0.0235,0.0126
7,draw,36,0.0129,0.0382
8,draw,71,0.0278,0.0129
9,draw,146,0.0123,0.0265
10,draw,134,0.0224,0.012
11,draw,55,0.0117,0.0324
12,draw,54,0.0279,0.0129
13,draw,31,0.0127,0.0311
14,draw,101,0.036,0.0125
15,draw,79,0.0128,0.0341
16,draw,86,0.0228,0.0124
17,draw,84,0.0126,0.0319
18,draw,49,0.0329,0.0128
19,draw,65,0.013,0.0399
20,draw,87,0.0224,0.013
21,minimax,80,0.0122,0.027
22,draw,37,0.0254,0.0123
23,draw,87,0.0125,0.0285
24,draw,26,0.0297,0.0126
25,draw,75,0.0129,0.0338
26,minimax,60,0.0343,0.013
27,draw,43,0.0134,0.0252
28,draw,49,0.0257,0.012
29,draw,96,0.0116,0.021
30,draw,164,0.0169,0.0074
31,minimax,21,0.0101,0.0286
32,minimax,88,0.0254,0.012
33,draw,70,0.0122,0.0215
34,draw,48,0.0392,0.012
35,draw,30,0.0132,0.0345
36,draw,40,0.0212,0.0122
37,draw,102,0.011,0.0215
38,draw,196,0.0157,0.0068
39,draw,35,0.0121,0.0314
40,draw,104,0.0239,0.0122
41,minimax,107,0.0108,0.0195
42,draw,50,0.0275,0.0054
43,draw,121,0.0126,0.0284
44,draw,81,0.022,0.0125
45,minimax,88,0.0087,0.0215
46,minimax,37,0.0476,0.0074
47,minimax,235,0.0109,0.0267
48,draw,117,0.0255,0.0128
49,draw,69,0.0128,0.0273
50,minimax,73,0.0306,0.0125
51,draw,91,0.0119,0.0288
52,draw,85,0.0268,0.0132
53,draw,164,0.0129,0.0441
54,draw,72,0.028,0.0128
55,draw,100,0.0122,0.0235
56,draw,118,0.0203,0.01
57,draw,49,0.0101,0.0364
58,draw,93,0.0284,0.0127
59,draw,92,0.0119,0.0215
60,draw,102,0.0316,0.0117
61,draw,62,0.0125,0.0328
62,draw,228,0.0225,0.01
63,draw,46,0.012,0.042
64,draw,58,0.0347,0.0129
65,draw,80,0.0126,0.0292
66,draw,189,0.0118,0.0075
67,minimax,46,0.0058,0.0283
68,minimax,77,0.0219,0.0118
69,draw,78,0.0115,0.0315
70,draw,80,0.0281,0.0123
71,minimax,80,0.0122,0.0279
72,draw,179,0.0134,0.0072
73,minimax,110,0.005,0.0145
74,draw,66,0.0227,0.0102
75,draw,65,0.0115,0.0289
76,draw,123,0.0257,0.0121
77,draw,95,0.0131,0.0348
78,draw,73,0.0418,0.0125
79,draw,68,0.0122,0.0186
80,minimax,23,0.0288,0.0109
81,draw,106,0.0081,0.0232
82,draw,254,0.0164,0.0086
83,draw,66,0.0087,0.0397
84,draw,258,0.018,0.0092
85,draw,212,0.0122,0.0322
86,minimax,119,0.0261,0.0126
87,draw,103,0.0116,0.0286
88,draw,75,0.0316,0.0127
89,draw,44,0.0123,0.0309
90,draw,98,0.0259,0.0126
91,draw,60,0.0127,0.0312
92,draw,129,0.0308,0.013
93,draw,91,0.0129,0.041
94,minimax,172,0.0273,0.0121
95,minimax,65,0.0122,0.0363
96,minimax,96,0.0326,0.0126
97,draw,77,0.0127,0.0332
98,minimax,23,0.0282,0.0125
99,draw,50,0.0128,0.0301
100,draw,71,0.0331,0.0126
