Game,Winner,Moves,Agent1_Avg_Time,Agent2_Avg_Time
1,draw,74,2.6549,0.0191
2,minimax,40,0.0335,3.1004
3,draw,85,2.314,0.0253
4,minimax,96,0.0199,3.5229
5,draw,177,2.131,0.0216
6,draw,65,0.0382,3.4382
7,draw,71,2.7293,0.044
8,draw,83,0.0255,3.5276
9,draw,37,2.9562,0.0645
10,minimax,190,0.0344,3.8426
11,draw,181,2.7479,0.022
12,draw,71,0.025,3.2953
13,draw,104,3.1537,0.0272
14,draw,162,0.0281,3.6556
15,minimax,147,4.9489,0.0348
16,draw,37,0.0422,2.6736
17,draw,90,1.9935,0.0299
18,draw,34,0.0543,2.7652
19,draw,171,2.4483,0.0233
20,draw,80,0.0274,2.9232
21,minimax,133,2.502,0.0192
22,minimax,8,0.0375,2.876
23,draw,24,3.0161,0.0397
24,draw,88,0.0223,3.0371
25,draw,51,3.5975,0.0341
26,minimax,47,0.0347,3.1019
27,draw,79,2.7025,0.023
28,draw,96,0.0315,3.6096
29,draw,36,3.5014,0.0466
30,minimax,75,0.0214,3.0906
31,draw,106,2.2621,0.0325
32,draw,65,0.022,2.768
33,draw,50,2.1322,0.0277
34,minimax,62,0.0294,3.1046
35,draw,26,2.3236,0.034
36,minimax,25,0.0405,2.6953
37,draw,128,2.2794,0.0351
38,mcts,25,0.0528,2.5131
39,draw,60,2.1075,0.0307
40,draw,43,0.0301,2.5729
41,draw,65,2.3267,0.0396
42,draw,34,0.0385,2.6395
43,draw,127,2.3133,0.0193
44,draw,85,0.0318,2.9271
45,draw,28,2.4027,0.0282
46,draw,116,0.0233,2.8197
47,minimax,12,2.6186,0.0342
48,draw,29,0.0348,2.6857
49,draw,72,2.0959,0.025
50,draw,45,0.0335,3.0011
51,draw,52,2.2659,0.0332
52,minimax,37,0.027,2.6294
53,draw,32,2.6051,0.024
54,mcts,27,0.0399,2.5837
55,draw,109,2.5069,0.0288
56,draw,30,0.0323,2.6951
57,draw,184,2.7105,0.0285
58,draw,111,0.0186,2.673
59,draw,122,2.2379,0.0261
60,minimax,29,0.0306,2.7424
61,minimax,161,2.3512,0.0199
62,minimax,31,0.0294,2.7286
63,draw,94,2.0647,0.053
64,minimax,24,0.033,2.905
65,draw,84,1.9021,0.0343
66,minimax,58,0.0267,2.7868
67,draw,39,2.3847,0.048
68,draw,33,0.0291,2.709
69,draw,28,1.9618,0.0322
70,draw,56,0.0384,3.1003
71,draw,69,2.5297,0.0218
72,mcts,9,0.0387,2.3685
73,minimax,73,2.4522,0.0306
74,minimax,10,0.0364,2.7358
75,draw,76,2.6407,0.0244
76,minimax,41,0.0249,2.5958
77,draw,87,2.5002,0.0348
78,draw,176,0.015,2.5688
79,minimax,31,2.6623,0.0354
80,draw,33,0.0343,2.8137
81,draw,209,2.0293,0.032
82,draw,25,0.0383,2.7768
83,draw,66,2.3104,0.0289
84,draw,36,0.0319,2.6273
85,draw,175,2.1373,0.0323
86,draw,133,0.0254,3.0783
87,draw,194,2.2622,0.024
88,minimax,13,0.042,2.6787
89,minimax,116,2.6058,0.0267
90,draw,114,0.0271,2.9825
91,draw,28,2.2386,0.0389
92,draw,119,0.0174,2.692
93,draw,66,2.4626,0.0235
94,minimax,187,0.0209,2.7875
95,draw,30,2.1813,0.0398
96,draw,26,0.0392,2.5862
97,minimax,39,2.3188,0.0411
98,draw,41,0.0427,2.7958
99,draw,231,1.9374,0.0208
100,draw,158,0.0169,2.7884
