Episode,TotalReward,Steps,DQNColor,OpponentType,QChosen,QMax,QMean,FinalResult,UsedFallback
0,-0.8,443,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
1,-0.7992,346,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
2,-0.7984,461,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
3,-0.7976,258,White,random,0.3004,0.3004,0.003,1/2-1/2,0
4,-0.7968,316,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
5,-0.796,408,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
6,-0.7952,373,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
7,-0.7944,358,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
8,-1,178,White,random,0.3787,0.3787,0.0096,0-1,0
9,-0.7928,339,White,random,0.2706,0.2706,-0.0027,1/2-1/2,0
10,-0.792,373,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
11,-0.7912,296,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
12,-0.7904,598,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
13,-0.7896,289,White,random,0.124,0.124,-0.0126,1/2-1/2,0
14,-1,76,White,random,-1.0,-1.0,-1.0,0-1,0
15,1,153,White,random,-1.0,-1.0,-1.0,1-0,0
16,-0.7872,473,White,random,-0.3389,-0.3389,-0.3389,1/2-1/2,0
17,-0.7864,494,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
18,-0.7856,466,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
19,1,111,White,random,-1.0,-1.0,-1.0,1-0,0
20,-0.784,355,White,random,-0.1919,-0.1919,-0.2393,1/2-1/2,0
21,-1,206,White,random,-1.0,-1.0,-1.0,0-1,0
22,-0.7824,285,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
23,-0.7816,715,White,random,0.2558,0.2558,-0.1169,1/2-1/2,0
24,-0.7808,338,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
25,-0.78,365,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
26,-0.7792,330,White,random,0.4236,0.4236,0.0743,1/2-1/2,0
27,-0.7784,339,White,random,0.0855,0.0855,-0.0333,1/2-1/2,0
28,-0.7776,406,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
29,-0.7768,395,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
30,-0.776,339,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
31,-0.7752,393,White,random,0.2231,0.2231,0.0393,1/2-1/2,0
32,1,273,White,random,0.5392,0.5392,0.0131,1-0,0
33,-0.7736,441,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
34,-0.7728,304,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
35,-0.772,387,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
36,-0.7712,332,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
37,-0.7704,421,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
38,-1,196,White,random,0.3269,0.3269,0.0189,0-1,0
39,-1,24,White,random,-1.0,-1.0,-1.0,0-1,0
40,-0.768,497,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
41,-1,426,White,random,0.2625,0.2625,0.1067,0-1,0
42,-0.7664,569,White,random,0.2307,0.2307,0.1047,1/2-1/2,0
43,-1,234,White,random,-1.0,-1.0,-1.0,0-1,0
44,-0.7648,323,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
45,1,183,White,random,-1.0,-1.0,-1.0,1-0,0
46,-0.7632,453,White,random,0.2225,0.2225,0.1197,1/2-1/2,0
47,-0.7624,403,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
48,-0.7616,303,White,random,0.2578,0.2578,-0.0131,1/2-1/2,0
49,-0.7608,408,White,random,0.4346,0.4346,-0.0524,1/2-1/2,0
50,-0.76,165,White,random,0.3519,0.3519,0.0079,1/2-1/2,0
51,-0.7592,356,White,random,0.0469,0.0469,-0.0573,1/2-1/2,0
52,-0.7584,368,White,random,0.1838,0.1838,0.0051,1/2-1/2,0
53,-0.7576,378,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
54,1,41,White,random,-1.0,-1.0,-1.0,1-0,0
55,-0.756,397,White,random,0.4224,0.4224,0.2851,1/2-1/2,0
56,1,173,White,random,-1.0,-1.0,-1.0,1-0,0
57,-0.7544,287,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
58,-0.7536,362,White,random,0.3714,0.3714,0.0512,1/2-1/2,0
59,-0.7528,648,White,random,0.5492,0.5492,0.1224,1/2-1/2,0
60,-0.752,379,White,random,0.4197,0.4197,0.2086,1/2-1/2,0
61,-0.7512,338,White,random,0.3291,0.3291,-0.0378,1/2-1/2,0
62,-0.7504,350,White,random,0.3656,0.3656,-0.0092,1/2-1/2,0
63,-0.7496,301,White,random,-0.0703,-0.0703,-0.0723,1/2-1/2,0
64,-0.7488,410,White,random,0.3564,0.3564,0.1427,1/2-1/2,0
65,-0.748,455,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
66,-0.7472,530,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
67,-0.7464,378,White,random,0.3252,0.3252,0.0339,1/2-1/2,0
68,-0.7456,253,White,random,0.4869,0.4869,0.0494,1/2-1/2,0
