Episode,TotalReward,Steps,DQNColor,OpponentType,QChosen,QMax,QMean,FinalResult,UsedFallback
0,-0.8,298,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
1,-0.7992,535,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
2,-0.7984,399,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
3,1,173,White,random,-1.0,-1.0,-1.0,1-0,0
4,-0.7968,356,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
5,-0.796,496,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
6,-0.7952,325,White,random,0.1003,0.1003,-0.0993,1/2-1/2,0
7,-0.7944,514,White,random,0.3612,0.3612,0.0302,1/2-1/2,0
8,-0.7936,470,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
9,-0.7928,417,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
10,-0.792,449,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
11,-0.7912,491,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
12,-0.7904,517,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
13,1,73,White,random,-1.0,-1.0,-1.0,1-0,0
14,-0.7888,392,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
15,-1,224,White,random,-1.0,-1.0,-1.0,0-1,0
16,-0.7872,368,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
17,-0.7864,288,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
18,-0.7856,267,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
19,-1,98,White,random,-1.0,-1.0,-1.0,0-1,0
20,-0.784,405,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
21,-0.7832,234,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
22,-0.7824,332,White,random,0.4907,0.4907,0.067,1/2-1/2,0
23,-0.7816,324,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
24,-0.7808,402,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
25,-0.78,406,White,random,0.5507,0.5507,0.2051,1/2-1/2,0
26,-0.7792,238,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
27,-0.7784,260,White,random,0.2875,0.2875,0.0925,1/2-1/2,0
28,-0.7776,551,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
29,-0.7768,344,White,random,0.27,0.27,0.0769,1/2-1/2,0
30,-0.776,329,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
31,-0.7752,442,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
32,-0.7744,345,White,random,0.3133,0.3133,0.1576,1/2-1/2,0
33,-0.7736,371,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
34,-0.7728,376,White,random,0.3714,0.3714,-0.0153,1/2-1/2,0
35,-0.772,445,White,random,0.2347,0.2347,-0.0098,1/2-1/2,0
