Game,Winner,Moves,QChosen_Mean,QMax_Mean,QMean_Mean,DQN_Avg_Time,Opponent_Avg_Time
1,draw,47,266.7931,266.7931,199.8273,0.0045,0.0045
2,draw,22,270.1089,270.1089,144.5295,0.0029,0.0031
3,draw,46,267.8389,267.8389,215.9849,0.003,0.0031
4,draw,22,270.1089,270.1089,144.5295,0.0032,0.0031
5,draw,29,279.5888,279.5888,217.4774,0.0029,0.0034
6,draw,22,270.1089,270.1089,144.5295,0.0028,0.0032
7,draw,22,267.1194,267.1194,208.7081,0.0033,0.0034
8,draw,22,270.1089,270.1089,144.5295,0.0031,0.0032
9,draw,22,267.1194,267.1194,208.7081,0.0031,0.0033
10,draw,22,270.1089,270.1089,144.5295,0.0026,0.003
