Game,Winner,Moves,QChosen_Mean,QMax_Mean,QMean_Mean,DQN_Avg_Time,Opponent_Avg_Time
1,draw,25,233.7648,233.7648,203.5033,0.0037,1.6076
2,draw,62,92.0177,92.0177,50.1061,0.0033,1.6035
3,draw,38,178.636,178.636,142.9999,0.0036,1.5882
4,draw,51,196.9921,196.9921,113.3922,0.004,1.6678
5,draw,91,78.1267,78.1267,61.3116,0.0037,1.7457
6,draw,19,295.5715,295.5715,154.1952,0.0035,1.6226
7,draw,28,273.491,273.491,212.4052,0.0034,1.6805
8,draw,28,100.6618,100.6618,61.7401,0.0039,1.8157
9,draw,21,171.0982,171.0982,124.1873,0.0042,1.782
10,draw,32,255.1956,255.1956,133.4597,0.0038,1.8012
