Game,Winner,Moves,QChosen_Mean,QMax_Mean,QMean_Mean,DQN_Avg_Time,Opponent_Avg_Time
1,draw,15,290.9532,290.9532,264.5732,0.0184,0.0196
2,draw,88,71.2111,71.2111,37.0247,0.0042,0.0493
3,draw,15,290.9532,290.9532,264.5732,0.0051,0.0207
4,draw,88,71.2111,71.2111,37.0247,0.0081,0.0459
5,draw,15,290.9532,290.9532,264.5732,0.009,0.0236
6,draw,88,71.2111,71.2111,37.0247,0.009,0.0478
7,draw,15,290.9532,290.9532,264.5732,0.009,0.0204
8,draw,88,71.2111,71.2111,37.0247,0.0088,0.0453
9,draw,15,290.9532,290.9532,264.5732,0.0091,0.0212
10,draw,88,71.2111,71.2111,37.0247,0.0089,0.0449
