Game,Winner,Moves,QChosen_Mean,QMax_Mean,QMean_Mean,DQN_Avg_Time,Opponent_Avg_Time
1,draw,275,50.6552,50.6552,42.143,0.003,0.0
2,draw,154,51.7102,51.7102,28.462,0.0032,0.0001
3,draw,196,46.9652,46.9652,37.4143,0.0034,0.0001
4,draw,244,56.3355,56.3355,32.8263,0.0033,0.0001
5,draw,207,62.179,62.179,50.9251,0.0031,0.0001
6,draw,235,56.8866,56.8866,33.1291,0.003,0.0
7,scripted_human,122,87.8552,87.8552,68.778,0.0032,0.0001
8,draw,291,47.1422,47.1422,28.2504,0.0033,0.0
9,draw,154,79.8644,79.8644,59.1045,0.0035,0.0001
10,draw,370,43.0567,43.0567,24.8046,0.0037,0.0
