Game,Winner,Moves,QChosen_Mean,QMax_Mean,QMean_Mean,DQN_Avg_Time,Opponent_Avg_Time
1,draw,22,267.1194,267.1194,208.7081,0.0059,0.0057
2,draw,22,270.1089,270.1089,144.5295,0.0028,0.0029
3,draw,22,267.1194,267.1194,208.7081,0.0027,0.0024
4,draw,22,270.1089,270.1089,144.5295,0.0025,0.0029
5,draw,22,267.1194,267.1194,208.7081,0.0027,0.0029
6,draw,22,270.1089,270.1089,144.5295,0.003,0.003
7,draw,22,267.1194,267.1194,208.7081,0.0027,0.0025
8,draw,22,270.1089,270.1089,144.5295,0.0028,0.0027
9,draw,22,267.1194,267.1194,208.7081,0.0025,0.0028
10,draw,22,270.1089,270.1089,144.5295,0.0029,0.003
