Game,Winner,Moves,QChosen_Mean,QMax_Mean,QMean_Mean,DQN_Avg_Time,Opponent_Avg_Time
1,draw,28,113.0924,113.0924,96.345,0.0037,1.4935
2,draw,51,143.3671,143.3671,77.7542,0.0035,1.5835
3,draw,29,158.9047,158.9047,126.7328,0.0034,1.4729
4,draw,30,78.3825,78.3825,44.7073,0.0035,1.5222
5,draw,41,69.4188,69.4188,56.3714,0.0032,1.403
6,draw,46,84.8842,84.8842,47.1675,0.0032,1.4688
7,draw,36,56.1423,56.1423,42.8503,0.0033,1.5302
8,draw,60,151.3047,151.3047,81.8935,0.0038,1.8092
9,draw,32,137.0526,137.0526,109.6149,0.0036,1.6306
10,draw,52,142.7509,142.7509,81.1462,0.0036,1.7553
