Game,Winner,Moves,QChosen_Mean,QMax_Mean,QMean_Mean,DQN_Avg_Time,Opponent_Avg_Time
1,draw,52,166.0395,166.0395,147.4589,0.0072,0.0248
2,minimax_qval,13,233.3804,233.3804,130.3058,0.0033,0.0272
3,minimax_qval,74,88.4046,88.4046,76.6935,0.0034,0.035
4,draw,127,57.5555,57.5555,43.7787,0.0065,0.0291
5,minimax_qval,35,154.9761,154.9761,132.2777,0.0087,0.0382
6,draw,98,52.4753,52.4753,33.4254,0.0086,0.0232
7,draw,39,287.0566,287.0566,262.2643,0.0087,0.0311
8,minimax_qval,50,56.6933,56.6933,33.7573,0.0088,0.0274
9,minimax_qval,96,83.654,83.654,73.6765,0.0087,0.0247
10,draw,107,49.6318,49.6318,31.4584,0.0085,0.0221
