Game,Winner,Moves,QChosen_Mean,QMax_Mean,QMean_Mean,DQN_Avg_Time,Opponent_Avg_Time
1,draw,240,43.2718,43.2718,33.9542,0.0028,0.0
2,scripted_human,116,47.3838,47.3838,26.0886,0.0031,0.0
3,draw,154,69.1786,69.1786,53.6242,0.003,0.0
4,scripted_human,114,56.6659,56.6659,30.1262,0.003,0.0
5,draw,241,57.8139,57.8139,46.052,0.0028,0.0001
6,draw,213,56.867,56.867,33.1688,0.0031,0.0
7,draw,273,57.6603,57.6603,43.5909,0.003,0.0
8,draw,248,63.5313,63.5313,35.545,0.0034,0.0001
9,draw,241,64.247,64.247,49.7079,0.0051,0.0001
10,draw,147,81.2639,81.2639,43.9952,0.0033,0.0
